layer,task_a,task_b,sample_a,sample_b,cosine,dot,conflict
26,strategyqa,mmlu,3,4,,0.0,False
26,strategyqa,mmlu,3,5,,0.0,False
26,strategyqa,mmlu,3,6,,0.0,False
26,strategyqa,mmlu,3,7,,0.0,False
26,strategyqa,mmlu,3,8,,0.0,False
26,strategyqa,mmlu,4,0,,0.0,False
26,strategyqa,mmlu,4,1,,0.0,False
26,strategyqa,mmlu,4,2,,0.0,False
26,strategyqa,mmlu,4,3,,0.0,False
26,strategyqa,mmlu,4,4,,0.0,False
26,strategyqa,mmlu,4,5,,0.0,False
26,strategyqa,mmlu,4,6,,0.0,False
26,strategyqa,mmlu,4,7,,0.0,False
26,strategyqa,mmlu,4,8,,0.0,False
27,gsm8k,strategyqa,0,0,,0.0,False
27,gsm8k,strategyqa,0,1,,0.0,False
27,gsm8k,strategyqa,0,2,,0.0,False
27,gsm8k,strategyqa,0,3,,0.0,False
27,gsm8k,strategyqa,0,4,,0.0,False
27,gsm8k,strategyqa,1,0,,0.0,False
27,gsm8k,strategyqa,1,1,,0.0,False
27,gsm8k,strategyqa,1,2,,0.0,False
27,gsm8k,strategyqa,1,3,,0.0,False
27,gsm8k,strategyqa,1,4,,0.0,False
27,gsm8k,strategyqa,2,0,,0.0,False
27,gsm8k,strategyqa,2,1,,0.0,False
27,gsm8k,strategyqa,2,2,,0.0,False
27,gsm8k,strategyqa,2,3,,0.0,False
27,gsm8k,strategyqa,2,4,,0.0,False
27,gsm8k,strategyqa,3,0,,0.0,False
27,gsm8k,strategyqa,3,1,,0.0,False
27,gsm8k,strategyqa,3,2,,0.0,False
27,gsm8k,strategyqa,3,3,,0.0,False
27,gsm8k,strategyqa,3,4,,0.0,False
27,gsm8k,strategyqa,4,0,,0.0,False
27,gsm8k,strategyqa,4,1,,0.0,False
27,gsm8k,strategyqa,4,2,,0.0,False
27,gsm8k,strategyqa,4,3,,0.0,False
27,gsm8k,strategyqa,4,4,,0.0,False
27,gsm8k,mmlu,0,0,,0.0,False
27,gsm8k,mmlu,0,1,,0.0,False
27,gsm8k,mmlu,0,2,,0.0,False
27,gsm8k,mmlu,0,3,,0.0,False
27,gsm8k,mmlu,0,4,,0.0,False
27,gsm8k,mmlu,0,5,,0.0,False
27,gsm8k,mmlu,0,6,,0.0,False
27,gsm8k,mmlu,0,7,,0.0,False
27,gsm8k,mmlu,0,8,,0.0,False
27,gsm8k,mmlu,1,0,,0.0,False
27,gsm8k,mmlu,1,1,,0.0,False
27,gsm8k,mmlu,1,2,,0.0,False
27,gsm8k,mmlu,1,3,,0.0,False
27,gsm8k,mmlu,1,4,,0.0,False
27,gsm8k,mmlu,1,5,,0.0,False
27,gsm8k,mmlu,1,6,,0.0,False
27,gsm8k,mmlu,1,7,,0.0,False
27,gsm8k,mmlu,1,8,,0.0,False
27,gsm8k,mmlu,2,0,,0.0,False
27,gsm8k,mmlu,2,1,,0.0,False
27,gsm8k,mmlu,2,2,,0.0,False
27,gsm8k,mmlu,2,3,,0.0,False
27,gsm8k,mmlu,2,4,,0.0,False
27,gsm8k,mmlu,2,5,,0.0,False
27,gsm8k,mmlu,2,6,,0.0,False
27,gsm8k,mmlu,2,7,,0.0,False
27,gsm8k,mmlu,2,8,,0.0,False
27,gsm8k,mmlu,3,0,,0.0,False
27,gsm8k,mmlu,3,1,,0.0,False
27,gsm8k,mmlu,3,2,,0.0,False
27,gsm8k,mmlu,3,3,,0.0,False
27,gsm8k,mmlu,3,4,,0.0,False
27,gsm8k,mmlu,3,5,,0.0,False
27,gsm8k,mmlu,3,6,,0.0,False
27,gsm8k,mmlu,3,7,,0.0,False
27,gsm8k,mmlu,3,8,,0.0,False
27,gsm8k,mmlu,4,0,,0.0,False
27,gsm8k,mmlu,4,1,,0.0,False
27,gsm8k,mmlu,4,2,,0.0,False
27,gsm8k,mmlu,4,3,,0.0,False
27,gsm8k,mmlu,4,4,,0.0,False
27,gsm8k,mmlu,4,5,,0.0,False
27,gsm8k,mmlu,4,6,,0.0,False
27,gsm8k,mmlu,4,7,,0.0,False
27,gsm8k,mmlu,4,8,,0.0,False
27,strategyqa,mmlu,0,0,,0.0,False
27,strategyqa,mmlu,0,1,,0.0,False
27,strategyqa,mmlu,0,2,,0.0,False
27,strategyqa,mmlu,0,3,,0.0,False
27,strategyqa,mmlu,0,4,,0.0,False
27,strategyqa,mmlu,0,5,,0.0,False
27,strategyqa,mmlu,0,6,,0.0,False
27,strategyqa,mmlu,0,7,,0.0,False
27,strategyqa,mmlu,0,8,,0.0,False
27,strategyqa,mmlu,1,0,,0.0,False
27,strategyqa,mmlu,1,1,,0.0,False
27,strategyqa,mmlu,1,2,,0.0,False
27,strategyqa,mmlu,1,3,,0.0,False
27,strategyqa,mmlu,1,4,,0.0,False
27,strategyqa,mmlu,1,5,,0.0,False
27,strategyqa,mmlu,1,6,,0.0,False
27,strategyqa,mmlu,1,7,,0.0,False
27,strategyqa,mmlu,1,8,,0.0,False
27,strategyqa,mmlu,2,0,,0.0,False
27,strategyqa,mmlu,2,1,,0.0,False
27,strategyqa,mmlu,2,2,,0.0,False
27,strategyqa,mmlu,2,3,,0.0,False
27,strategyqa,mmlu,2,4,,0.0,False
27,strategyqa,mmlu,2,5,,0.0,False
27,strategyqa,mmlu,2,6,,0.0,False
27,strategyqa,mmlu,2,7,,0.0,False
27,strategyqa,mmlu,2,8,,0.0,False
27,strategyqa,mmlu,3,0,,0.0,False
27,strategyqa,mmlu,3,1,,0.0,False
27,strategyqa,mmlu,3,2,,0.0,False
27,strategyqa,mmlu,3,3,,0.0,False
27,strategyqa,mmlu,3,4,,0.0,False
27,strategyqa,mmlu,3,5,,0.0,False
27,strategyqa,mmlu,3,6,,0.0,False
27,strategyqa,mmlu,3,7,,0.0,False
27,strategyqa,mmlu,3,8,,0.0,False
27,strategyqa,mmlu,4,0,,0.0,False
27,strategyqa,mmlu,4,1,,0.0,False
27,strategyqa,mmlu,4,2,,0.0,False
27,strategyqa,mmlu,4,3,,0.0,False
27,strategyqa,mmlu,4,4,,0.0,False
27,strategyqa,mmlu,4,5,,0.0,False
27,strategyqa,mmlu,4,6,,0.0,False
27,strategyqa,mmlu,4,7,,0.0,False
27,strategyqa,mmlu,4,8,,0.0,False
28,gsm8k,strategyqa,0,0,,0.0,False
28,gsm8k,strategyqa,0,1,,0.0,False
28,gsm8k,strategyqa,0,2,,0.0,False
28,gsm8k,strategyqa,0,3,,0.0,False
28,gsm8k,strategyqa,0,4,,0.0,False
28,gsm8k,strategyqa,1,0,,0.0,False
28,gsm8k,strategyqa,1,1,,0.0,False
28,gsm8k,strategyqa,1,2,,0.0,False
28,gsm8k,strategyqa,1,3,,0.0,False
28,gsm8k,strategyqa,1,4,,0.0,False
28,gsm8k,strategyqa,2,0,,0.0,False
28,gsm8k,strategyqa,2,1,,0.0,False
28,gsm8k,strategyqa,2,2,,0.0,False
28,gsm8k,strategyqa,2,3,,0.0,False
28,gsm8k,strategyqa,2,4,,0.0,False
28,gsm8k,strategyqa,3,0,,0.0,False
28,gsm8k,strategyqa,3,1,,0.0,False
28,gsm8k,strategyqa,3,2,,0.0,False
28,gsm8k,strategyqa,3,3,,0.0,False
28,gsm8k,strategyqa,3,4,,0.0,False
28,gsm8k,strategyqa,4,0,,0.0,False
28,gsm8k,strategyqa,4,1,,0.0,False
28,gsm8k,strategyqa,4,2,,0.0,False
28,gsm8k,strategyqa,4,3,,0.0,False
28,gsm8k,strategyqa,4,4,,0.0,False
28,gsm8k,mmlu,0,0,,0.0,False
28,gsm8k,mmlu,0,1,,0.0,False
28,gsm8k,mmlu,0,2,,0.0,False
28,gsm8k,mmlu,0,3,,0.0,False
28,gsm8k,mmlu,0,4,,0.0,False
28,gsm8k,mmlu,0,5,,0.0,False
28,gsm8k,mmlu,0,6,,0.0,False
28,gsm8k,mmlu,0,7,,0.0,False
28,gsm8k,mmlu,0,8,,0.0,False
28,gsm8k,mmlu,1,0,,0.0,False
28,gsm8k,mmlu,1,1,,0.0,False
28,gsm8k,mmlu,1,2,,0.0,False
28,gsm8k,mmlu,1,3,,0.0,False
28,gsm8k,mmlu,1,4,,0.0,False
28,gsm8k,mmlu,1,5,,0.0,False
28,gsm8k,mmlu,1,6,,0.0,False
28,gsm8k,mmlu,1,7,,0.0,False
28,gsm8k,mmlu,1,8,,0.0,False
28,gsm8k,mmlu,2,0,,0.0,False
28,gsm8k,mmlu,2,1,,0.0,False
28,gsm8k,mmlu,2,2,,0.0,False
28,gsm8k,mmlu,2,3,,0.0,False
28,gsm8k,mmlu,2,4,,0.0,False
28,gsm8k,mmlu,2,5,,0.0,False
28,gsm8k,mmlu,2,6,,0.0,False
28,gsm8k,mmlu,2,7,,0.0,False
28,gsm8k,mmlu,2,8,,0.0,False
28,gsm8k,mmlu,3,0,,0.0,False
28,gsm8k,mmlu,3,1,,0.0,False
28,gsm8k,mmlu,3,2,,0.0,False
28,gsm8k,mmlu,3,3,,0.0,False
28,gsm8k,mmlu,3,4,,0.0,False
28,gsm8k,mmlu,3,5,,0.0,False
28,gsm8k,mmlu,3,6,,0.0,False
28,gsm8k,mmlu,3,7,,0.0,False
28,gsm8k,mmlu,3,8,,0.0,False
28,gsm8k,mmlu,4,0,,0.0,False
28,gsm8k,mmlu,4,1,,0.0,False
28,gsm8k,mmlu,4,2,,0.0,False
28,gsm8k,mmlu,4,3,,0.0,False
28,gsm8k,mmlu,4,4,,0.0,False
28,gsm8k,mmlu,4,5,,0.0,False
28,gsm8k,mmlu,4,6,,0.0,False
28,gsm8k,mmlu,4,7,,0.0,False
28,gsm8k,mmlu,4,8,,0.0,False
28,strategyqa,mmlu,0,0,,0.0,False
28,strategyqa,mmlu,0,1,,0.0,False
28,strategyqa,mmlu,0,2,,0.0,False
28,strategyqa,mmlu,0,3,,0.0,False
28,strategyqa,mmlu,0,4,,0.0,False
28,strategyqa,mmlu,0,5,,0.0,False
28,strategyqa,mmlu,0,6,,0.0,False
28,strategyqa,mmlu,0,7,,0.0,False
28,strategyqa,mmlu,0,8,,0.0,False
28,strategyqa,mmlu,1,0,,0.0,False
28,strategyqa,mmlu,1,1,,0.0,False
28,strategyqa,mmlu,1,2,,0.0,False
28,strategyqa,mmlu,1,3,,0.0,False
28,strategyqa,mmlu,1,4,,0.0,False
28,strategyqa,mmlu,1,5,,0.0,False
28,strategyqa,mmlu,1,6,,0.0,False
28,strategyqa,mmlu,1,7,,0.0,False
28,strategyqa,mmlu,1,8,,0.0,False
28,strategyqa,mmlu,2,0,,0.0,False
28,strategyqa,mmlu,2,1,,0.0,False
28,strategyqa,mmlu,2,2,,0.0,False
28,strategyqa,mmlu,2,3,,0.0,False
28,strategyqa,mmlu,2,4,,0.0,False
28,strategyqa,mmlu,2,5,,0.0,False
28,strategyqa,mmlu,2,6,,0.0,False
28,strategyqa,mmlu,2,7,,0.0,False
28,strategyqa,mmlu,2,8,,0.0,False
28,strategyqa,mmlu,3,0,,0.0,False
28,strategyqa,mmlu,3,1,,0.0,False
28,strategyqa,mmlu,3,2,,0.0,False
28,strategyqa,mmlu,3,3,,0.0,False
28,strategyqa,mmlu,3,4,,0.0,False
28,strategyqa,mmlu,3,5,,0.0,False
28,strategyqa,mmlu,3,6,,0.0,False
28,strategyqa,mmlu,3,7,,0.0,False
28,strategyqa,mmlu,3,8,,0.0,False
28,strategyqa,mmlu,4,0,,0.0,False
28,strategyqa,mmlu,4,1,,0.0,False
28,strategyqa,mmlu,4,2,,0.0,False
28,strategyqa,mmlu,4,3,,0.0,False
28,strategyqa,mmlu,4,4,,0.0,False
28,strategyqa,mmlu,4,5,,0.0,False
28,strategyqa,mmlu,4,6,,0.0,False
28,strategyqa,mmlu,4,7,,0.0,False
28,strategyqa,mmlu,4,8,,0.0,False
29,gsm8k,strategyqa,0,0,,0.0,False
29,gsm8k,strategyqa,0,1,,0.0,False
29,gsm8k,strategyqa,0,2,,0.0,False
29,gsm8k,strategyqa,0,3,,0.0,False
29,gsm8k,strategyqa,0,4,,0.0,False
29,gsm8k,strategyqa,1,0,,0.0,False
29,gsm8k,strategyqa,1,1,,0.0,False
29,gsm8k,strategyqa,1,2,,0.0,False
29,gsm8k,strategyqa,1,3,,0.0,False
29,gsm8k,strategyqa,1,4,,0.0,False
29,gsm8k,strategyqa,2,0,,0.0,False
29,gsm8k,strategyqa,2,1,,0.0,False
29,gsm8k,strategyqa,2,2,,0.0,False
29,gsm8k,strategyqa,2,3,,0.0,False
29,gsm8k,strategyqa,2,4,,0.0,False
29,gsm8k,strategyqa,3,0,,0.0,False
29,gsm8k,strategyqa,3,1,,0.0,False
29,gsm8k,strategyqa,3,2,,0.0,False
29,gsm8k,strategyqa,3,3,,0.0,False
29,gsm8k,strategyqa,3,4,,0.0,False
29,gsm8k,strategyqa,4,0,,0.0,False
29,gsm8k,strategyqa,4,1,,0.0,False
29,gsm8k,strategyqa,4,2,,0.0,False
29,gsm8k,strategyqa,4,3,,0.0,False
29,gsm8k,strategyqa,4,4,,0.0,False
29,gsm8k,mmlu,0,0,,0.0,False
29,gsm8k,mmlu,0,1,,0.0,False
29,gsm8k,mmlu,0,2,,0.0,False
29,gsm8k,mmlu,0,3,,0.0,False
29,gsm8k,mmlu,0,4,,0.0,False
29,gsm8k,mmlu,0,5,,0.0,False
29,gsm8k,mmlu,0,6,,0.0,False
29,gsm8k,mmlu,0,7,,0.0,False
29,gsm8k,mmlu,0,8,,0.0,False
29,gsm8k,mmlu,1,0,,0.0,False
29,gsm8k,mmlu,1,1,,0.0,False
29,gsm8k,mmlu,1,2,,0.0,False
29,gsm8k,mmlu,1,3,,0.0,False
29,gsm8k,mmlu,1,4,,0.0,False
29,gsm8k,mmlu,1,5,,0.0,False
29,gsm8k,mmlu,1,6,,0.0,False
29,gsm8k,mmlu,1,7,,0.0,False
29,gsm8k,mmlu,1,8,,0.0,False
29,gsm8k,mmlu,2,0,,0.0,False
29,gsm8k,mmlu,2,1,,0.0,False
29,gsm8k,mmlu,2,2,,0.0,False
29,gsm8k,mmlu,2,3,,0.0,False
29,gsm8k,mmlu,2,4,,0.0,False
29,gsm8k,mmlu,2,5,,0.0,False
29,gsm8k,mmlu,2,6,,0.0,False
29,gsm8k,mmlu,2,7,,0.0,False
29,gsm8k,mmlu,2,8,,0.0,False
29,gsm8k,mmlu,3,0,,0.0,False
29,gsm8k,mmlu,3,1,,0.0,False
29,gsm8k,mmlu,3,2,,0.0,False
29,gsm8k,mmlu,3,3,,0.0,False
29,gsm8k,mmlu,3,4,,0.0,False
29,gsm8k,mmlu,3,5,,0.0,False
29,gsm8k,mmlu,3,6,,0.0,False
29,gsm8k,mmlu,3,7,,0.0,False
29,gsm8k,mmlu,3,8,,0.0,False
29,gsm8k,mmlu,4,0,,0.0,False
29,gsm8k,mmlu,4,1,,0.0,False
29,gsm8k,mmlu,4,2,,0.0,False
29,gsm8k,mmlu,4,3,,0.0,False
29,gsm8k,mmlu,4,4,,0.0,False
29,gsm8k,mmlu,4,5,,0.0,False
29,gsm8k,mmlu,4,6,,0.0,False
29,gsm8k,mmlu,4,7,,0.0,False
29,gsm8k,mmlu,4,8,,0.0,False
29,strategyqa,mmlu,0,0,,0.0,False
29,strategyqa,mmlu,0,1,,0.0,False
29,strategyqa,mmlu,0,2,,0.0,False
29,strategyqa,mmlu,0,3,,0.0,False
29,strategyqa,mmlu,0,4,,0.0,False
29,strategyqa,mmlu,0,5,,0.0,False
29,strategyqa,mmlu,0,6,,0.0,False
29,strategyqa,mmlu,0,7,,0.0,False
29,strategyqa,mmlu,0,8,,0.0,False
29,strategyqa,mmlu,1,0,,0.0,False
29,strategyqa,mmlu,1,1,,0.0,False
29,strategyqa,mmlu,1,2,,0.0,False
29,strategyqa,mmlu,1,3,,0.0,False
29,strategyqa,mmlu,1,4,,0.0,False
29,strategyqa,mmlu,1,5,,0.0,False
29,strategyqa,mmlu,1,6,,0.0,False
29,strategyqa,mmlu,1,7,,0.0,False
29,strategyqa,mmlu,1,8,,0.0,False
29,strategyqa,mmlu,2,0,,0.0,False
29,strategyqa,mmlu,2,1,,0.0,False
29,strategyqa,mmlu,2,2,,0.0,False
29,strategyqa,mmlu,2,3,,0.0,False
29,strategyqa,mmlu,2,4,,0.0,False
29,strategyqa,mmlu,2,5,,0.0,False
29,strategyqa,mmlu,2,6,,0.0,False
29,strategyqa,mmlu,2,7,,0.0,False
29,strategyqa,mmlu,2,8,,0.0,False
29,strategyqa,mmlu,3,0,,0.0,False
29,strategyqa,mmlu,3,1,,0.0,False
29,strategyqa,mmlu,3,2,,0.0,False
29,strategyqa,mmlu,3,3,,0.0,False
29,strategyqa,mmlu,3,4,,0.0,False
29,strategyqa,mmlu,3,5,,0.0,False
29,strategyqa,mmlu,3,6,,0.0,False
29,strategyqa,mmlu,3,7,,0.0,False
29,strategyqa,mmlu,3,8,,0.0,False
29,strategyqa,mmlu,4,0,,0.0,False
29,strategyqa,mmlu,4,1,,0.0,False
29,strategyqa,mmlu,4,2,,0.0,False
29,strategyqa,mmlu,4,3,,0.0,False
29,strategyqa,mmlu,4,4,,0.0,False
29,strategyqa,mmlu,4,5,,0.0,False
29,strategyqa,mmlu,4,6,,0.0,False
29,strategyqa,mmlu,4,7,,0.0,False
29,strategyqa,mmlu,4,8,,0.0,False
30,gsm8k,strategyqa,0,0,,0.0,False
30,gsm8k,strategyqa,0,1,,0.0,False
30,gsm8k,strategyqa,0,2,,0.0,False
30,gsm8k,strategyqa,0,3,,0.0,False
30,gsm8k,strategyqa,0,4,,0.0,False
30,gsm8k,strategyqa,1,0,,0.0,False
30,gsm8k,strategyqa,1,1,,0.0,False
30,gsm8k,strategyqa,1,2,,0.0,False
30,gsm8k,strategyqa,1,3,,0.0,False
30,gsm8k,strategyqa,1,4,,0.0,False
30,gsm8k,strategyqa,2,0,,0.0,False
30,gsm8k,strategyqa,2,1,,0.0,False
30,gsm8k,strategyqa,2,2,,0.0,False
30,gsm8k,strategyqa,2,3,,0.0,False
30,gsm8k,strategyqa,2,4,,0.0,False
30,gsm8k,strategyqa,3,0,,0.0,False
30,gsm8k,strategyqa,3,1,,0.0,False
30,gsm8k,strategyqa,3,2,,0.0,False
30,gsm8k,strategyqa,3,3,,0.0,False
30,gsm8k,strategyqa,3,4,,0.0,False
30,gsm8k,strategyqa,4,0,,0.0,False
30,gsm8k,strategyqa,4,1,,0.0,False
30,gsm8k,strategyqa,4,2,,0.0,False
30,gsm8k,strategyqa,4,3,,0.0,False
30,gsm8k,strategyqa,4,4,,0.0,False
30,gsm8k,mmlu,0,0,,0.0,False
30,gsm8k,mmlu,0,1,,0.0,False
30,gsm8k,mmlu,0,2,,0.0,False
30,gsm8k,mmlu,0,3,,0.0,False
30,gsm8k,mmlu,0,4,,0.0,False
30,gsm8k,mmlu,0,5,,0.0,False
30,gsm8k,mmlu,0,6,,0.0,False
30,gsm8k,mmlu,0,7,,0.0,False
30,gsm8k,mmlu,0,8,,0.0,False
30,gsm8k,mmlu,1,0,,0.0,False
30,gsm8k,mmlu,1,1,,0.0,False
30,gsm8k,mmlu,1,2,,0.0,False
30,gsm8k,mmlu,1,3,,0.0,False
30,gsm8k,mmlu,1,4,,0.0,False
30,gsm8k,mmlu,1,5,,0.0,False
30,gsm8k,mmlu,1,6,,0.0,False
30,gsm8k,mmlu,1,7,,0.0,False
30,gsm8k,mmlu,1,8,,0.0,False
30,gsm8k,mmlu,2,0,,0.0,False
30,gsm8k,mmlu,2,1,,0.0,False
30,gsm8k,mmlu,2,2,,0.0,False
30,gsm8k,mmlu,2,3,,0.0,False
30,gsm8k,mmlu,2,4,,0.0,False
30,gsm8k,mmlu,2,5,,0.0,False
30,gsm8k,mmlu,2,6,,0.0,False
30,gsm8k,mmlu,2,7,,0.0,False
30,gsm8k,mmlu,2,8,,0.0,False
30,gsm8k,mmlu,3,0,,0.0,False
30,gsm8k,mmlu,3,1,,0.0,False
30,gsm8k,mmlu,3,2,,0.0,False
30,gsm8k,mmlu,3,3,,0.0,False
30,gsm8k,mmlu,3,4,,0.0,False
30,gsm8k,mmlu,3,5,,0.0,False
30,gsm8k,mmlu,3,6,,0.0,False
30,gsm8k,mmlu,3,7,,0.0,False
30,gsm8k,mmlu,3,8,,0.0,False
30,gsm8k,mmlu,4,0,,0.0,False
30,gsm8k,mmlu,4,1,,0.0,False
30,gsm8k,mmlu,4,2,,0.0,False
30,gsm8k,mmlu,4,3,,0.0,False
30,gsm8k,mmlu,4,4,,0.0,False
30,gsm8k,mmlu,4,5,,0.0,False
30,gsm8k,mmlu,4,6,,0.0,False
30,gsm8k,mmlu,4,7,,0.0,False
30,gsm8k,mmlu,4,8,,0.0,False
30,strategyqa,mmlu,0,0,,0.0,False
30,strategyqa,mmlu,0,1,,0.0,False
30,strategyqa,mmlu,0,2,,0.0,False
30,strategyqa,mmlu,0,3,,0.0,False
30,strategyqa,mmlu,0,4,,0.0,False
30,strategyqa,mmlu,0,5,,0.0,False
30,strategyqa,mmlu,0,6,,0.0,False
30,strategyqa,mmlu,0,7,,0.0,False
30,strategyqa,mmlu,0,8,,0.0,False
30,strategyqa,mmlu,1,0,,0.0,False
30,strategyqa,mmlu,1,1,,0.0,False
30,strategyqa,mmlu,1,2,,0.0,False
30,strategyqa,mmlu,1,3,,0.0,False
30,strategyqa,mmlu,1,4,,0.0,False
30,strategyqa,mmlu,1,5,,0.0,False
30,strategyqa,mmlu,1,6,,0.0,False
30,strategyqa,mmlu,1,7,,0.0,False
30,strategyqa,mmlu,1,8,,0.0,False
30,strategyqa,mmlu,2,0,,0.0,False
30,strategyqa,mmlu,2,1,,0.0,False
30,strategyqa,mmlu,2,2,,0.0,False
30,strategyqa,mmlu,2,3,,0.0,False
30,strategyqa,mmlu,2,4,,0.0,False
30,strategyqa,mmlu,2,5,,0.0,False
30,strategyqa,mmlu,2,6,,0.0,False
30,strategyqa,mmlu,2,7,,0.0,False
30,strategyqa,mmlu,2,8,,0.0,False
30,strategyqa,mmlu,3,0,,0.0,False
30,strategyqa,mmlu,3,1,,0.0,False
30,strategyqa,mmlu,3,2,,0.0,False
30,strategyqa,mmlu,3,3,,0.0,False
30,strategyqa,mmlu,3,4,,0.0,False
30,strategyqa,mmlu,3,5,,0.0,False
30,strategyqa,mmlu,3,6,,0.0,False
30,strategyqa,mmlu,3,7,,0.0,False
30,strategyqa,mmlu,3,8,,0.0,False
30,strategyqa,mmlu,4,0,,0.0,False
30,strategyqa,mmlu,4,1,,0.0,False
30,strategyqa,mmlu,4,2,,0.0,False
30,strategyqa,mmlu,4,3,,0.0,False
30,strategyqa,mmlu,4,4,,0.0,False
30,strategyqa,mmlu,4,5,,0.0,False
30,strategyqa,mmlu,4,6,,0.0,False
30,strategyqa,mmlu,4,7,,0.0,False
30,strategyqa,mmlu,4,8,,0.0,False
